ds,y_true,y_pred,error,residual
2025-09-22 19:00:00,1.17877,1.1776915788650513,0.001078421134948826,0.001078421134948826
2025-09-24 21:00:00,1.17362,1.1728965044021606,0.000723495597839463,0.000723495597839463
2025-09-26 23:00:00,1.17013,1.1704258918762207,-0.0002958918762208107,-0.0002958918762208107
2025-10-01 01:00:00,1.17337,1.1731088161468506,0.00026118385314943815,0.00026118385314943815
2025-10-03 03:00:00,1.17238,1.1720932722091675,0.0002867277908324972,0.0002867277908324972
2025-10-07 05:00:00,1.17011,1.1701507568359375,-4.0756835937516556e-05,-4.0756835937516556e-05
2025-10-09 07:00:00,1.16452,1.1647961139678955,-0.00027611396789550824,-0.00027611396789550824
2025-10-13 09:00:00,1.16135,1.1626126766204834,-0.001262676620483294,-0.001262676620483294
2025-10-15 11:00:00,1.16321,1.1629868745803833,0.00022312541961677645,0.00022312541961677645
2025-10-17 13:00:00,1.16892,1.1711617708206177,-0.0022417708206177167,-0.0022417708206177167
2025-10-21 15:00:00,1.16106,1.1615848541259766,-0.0005248541259765815,-0.0005248541259765815
2025-10-23 17:00:00,1.16127,1.1594442129135132,0.0018257870864868408,0.0018257870864868408
2025-10-27 19:00:00,1.16376,1.1635162830352783,0.00024371696472158533,0.00024371696472158533
2025-10-29 21:00:00,1.15989,1.163194179534912,-0.0033041795349120218,-0.0033041795349120218
