ds,y_true,y_pred,error,residual
2025-09-22 19:00:00,1.17877,1.1732949704497297,0.005475029550270349,0.005475029550270349
2025-09-24 21:00:00,1.17362,1.1804160667236774,-0.006796066723677274,-0.006796066723677274
2025-09-26 23:00:00,1.17013,1.1615097545968596,0.008620245403140325,0.008620245403140325
2025-10-01 01:00:00,1.17337,1.1791113601358503,-0.005741360135850249,-0.005741360135850249
2025-10-03 03:00:00,1.17238,1.1699024376787714,0.0024775623212285325,0.0024775623212285325
2025-10-07 05:00:00,1.17011,1.1699268868464496,0.00018311315355035163,0.00018311315355035163
2025-10-09 07:00:00,1.16452,1.1594272627412603,0.00509273725873971,0.00509273725873971
2025-10-13 09:00:00,1.16135,1.16362065172739,-0.0022706517273898275,-0.0022706517273898275
2025-10-15 11:00:00,1.16321,1.1618053630843554,0.0014046369156446303,0.0014046369156446303
2025-10-17 13:00:00,1.16892,1.1732301027054588,-0.00431010270545884,-0.00431010270545884
2025-10-21 15:00:00,1.16106,1.158227853655334,0.0028321463446658868,0.0028321463446658868
2025-10-23 17:00:00,1.16127,1.1594027466128716,0.0018672533871284536,0.0018672533871284536
2025-10-27 19:00:00,1.16376,1.1647003492955745,-0.0009403492955746273,-0.0009403492955746273
2025-10-29 21:00:00,1.15989,1.1631799988037972,-0.0032899988037971006,-0.0032899988037971006
