ds,y_true,y_pred,error,residual
2025-09-22 20:00:00,1.17961,1.1740392220053097,0.005570777994690301,0.005570777994690301
2025-09-24 22:00:00,1.17376,1.1798389713528752,-0.006078971352875273,-0.006078971352875273
2025-09-29 00:00:00,1.17021,1.161841186332206,0.008368813667793962,0.008368813667793962
2025-10-01 02:00:00,1.1734,1.1789637143108815,-0.00556371431088154,-0.00556371431088154
2025-10-03 04:00:00,1.17262,1.1697696956627768,0.0028503043372232195,0.0028503043372232195
2025-10-07 06:00:00,1.17029,1.1699373805559476,0.0003526194440524044,0.0003526194440524044
2025-10-09 08:00:00,1.16381,1.1597657486324389,0.004044251367561147,0.004044251367561147
2025-10-13 10:00:00,1.15993,1.1637186305312208,-0.0037886305312209156,-0.0037886305312209156
2025-10-15 12:00:00,1.16342,1.1620011898627958,0.0014188101372041295,0.0014188101372041295
2025-10-17 14:00:00,1.16845,1.1732620513310257,-0.004812051331025691,-0.004812051331025691
2025-10-21 16:00:00,1.16122,1.157853859430956,0.0033661405690439405,0.0033661405690439405
2025-10-23 18:00:00,1.16111,1.1596574380435543,0.0014525619564458303,0.0014525619564458303
2025-10-27 20:00:00,1.16499,1.1647763132731248,0.00021368672687516188,0.00021368672687516188
2025-10-29 22:00:00,1.15997,1.1626130178260672,-0.00264301782606724,-0.00264301782606724
