ds,y_true,y_pred,error,residual
2023-02-28,1.05737,1.06089,-0.0035200000000001896,-0.0035200000000001896
2023-05-09,1.0959699999999999,1.10035,-0.0043800000000000505,-0.0043800000000000505
2023-07-18,1.12275,1.12398,-0.0012300000000000644,-0.0012300000000000644
2023-09-26,1.0570599999999999,1.05919,-0.0021300000000001873,-0.0021300000000001873
2023-12-05,1.07974,1.08351,-0.003770000000000051,-0.003770000000000051
2024-02-15,1.07728,1.07274,0.0045399999999999885,0.0045399999999999885
2024-04-25,1.07297,1.06982,0.003149999999999986,0.003149999999999986
2024-07-04,1.0811,1.0788,0.0022999999999999687,0.0022999999999999687
2024-09-12,1.10726,1.1013600000000001,0.005899999999999794,0.005899999999999794
2024-11-21,1.0472,1.05428,-0.007080000000000197,-0.007080000000000197
2025-02-03,1.03342,1.03575,-0.0023299999999999432,-0.0023299999999999432
2025-04-14,1.13503,1.13509,-5.999999999994898e-05,-5.999999999994898e-05
2025-06-23,1.15777,1.15216,0.005609999999999893,0.005609999999999893
2025-09-01,1.17117,1.16863,0.0025399999999999867,0.0025399999999999867
