model,RMSE,MAE,MAPE(%),TheilsU,HitRate
lstm,0.005062296928114347,0.0037628075275576113,0.3428198229527144,0.9964253633035502,0.4969939879759519
rw,0.005080225369016617,0.0037695000000000016,0.343393409466236,0.9999999999612471,0.4849699398797595
arima,0.05406478538572326,0.042272555748602995,3.762366530535096,10.643050220492716,0.04208416833667335
ets,0.07840793747517055,0.06218885104467928,5.536522955050342,15.435182730352311,0.5130260521042084
