Date,y,rw,arima,ets,lstm
2023-10-20,1.05946,1.05802,1.0580647478145493,1.0579000663176503,1.0576625594472884
2023-10-23,1.06686,1.05946,1.0580873496596137,1.057802822067726,1.0592788894224168
2023-10-24,1.05891,1.06686,1.0580987657121173,1.0577055778178015,1.0660021098554133
2023-10-25,1.05652,1.05891,1.0581045318898072,1.0576083335678772,1.0590576913332939
2023-10-26,1.05604,1.05652,1.058107444350585,1.0575110893179527,1.056368989548683
2023-10-27,1.05647,1.05604,1.0581089154165557,1.0574138450680284,1.0559064309453965
2023-10-30,1.06141,1.05647,1.0581096584429022,1.0573166008181039,1.056406777598858
2023-10-31,1.05732,1.06141,1.0581100337409257,1.0572193565681793,1.0613964612972735
2023-11-01,1.05661,1.05732,1.0581102233016422,1.057122112318255,1.0571353479337693
2023-11-02,1.06201,1.05661,1.0581103190475905,1.0570248680683305,1.0565315913146736
2023-11-03,1.07265,1.06201,1.0581103674082784,1.0569276238184062,1.0622805473148822
2023-11-06,1.07164,1.07265,1.0581103918349635,1.0568303795684817,1.072544251638651
2023-11-07,1.06988,1.07164,1.0581104041727314,1.0567331353185574,1.0713791356372833
2023-11-08,1.0709,1.06988,1.0581104104044619,1.0566358910686329,1.0698236274814605
2023-11-09,1.06674,1.0709,1.0581104135520705,1.0565386468187083,1.0708968084692954
2023-11-10,1.06833,1.06674,1.058110415141908,1.056441402568784,1.0665944592940808
2023-11-13,1.06984,1.06833,1.0581104159449253,1.0563441583188595,1.0682491296637058
2023-11-14,1.08784,1.06984,1.0581104163505244,1.0562469140689352,1.0697903889369964
2023-11-15,1.08456,1.08784,1.05811041655539,1.0561496698190107,1.0874184731006622
2023-11-16,1.08529,1.08456,1.0581104166588664,1.0560524255690864,1.0841262333011628
2023-11-17,1.09122,1.08529,1.0581104167111317,1.0559551813191619,1.0852959513258935
2023-11-20,1.09399,1.09122,1.0581104167375306,1.0558579370692374,1.0913597097444534
2023-11-21,1.09117,1.09399,1.0581104167508646,1.055760692819313,1.0940083883416654
2023-11-22,1.08879,1.09117,1.0581104167575994,1.0556634485693885,1.0911405374234915
2023-11-23,1.09061,1.08879,1.0581104167610011,1.0555662043194642,1.088817775890827
2023-11-24,1.09352,1.09061,1.0581104167627193,1.0554689600695397,1.0906636944782735
2023-11-27,1.09543,1.09352,1.058110416763587,1.0553717158196154,1.0935851788711548
2023-11-28,1.09943,1.09543,1.0581104167640254,1.055274471569691,1.0954471066915987
2023-11-29,1.09696,1.09943,1.0581104167642468,1.0551772273197664,1.0995098169219493
2023-11-30,1.08887,1.09696,1.0581104167643587,1.055079983069842,1.0967573098754881
2023-12-01,1.08803,1.08887,1.058110416764415,1.0549827388199176,1.0880628174382447
2023-12-04,1.08351,1.08803,1.0581104167644435,1.0548854945699933,1.0877362869149447
2023-12-05,1.07974,1.08351,1.058110416764458,1.0547882503200687,1.082749285928607
2023-12-06,1.07628,1.07974,1.0581104167644653,1.0546910060701444,1.0790614786756039
2023-12-07,1.07951,1.07628,1.058110416764469,1.05459376182022,1.0756228342151641
2023-12-08,1.07617,1.07951,1.0581104167644708,1.0544965175702954,1.079935698647499
2023-12-11,1.07634,1.07617,1.0581104167644717,1.054399273320371,1.0759113684463502
2023-12-12,1.07943,1.07634,1.0581104167644722,1.0543020290704466,1.0766932366776467
2023-12-13,1.08742,1.07943,1.0581104167644724,1.0542047848205223,1.0802577861106395
2023-12-14,1.09908,1.08742,1.0581104167644726,1.0541075405705977,1.088457951939106
2023-12-15,1.08943,1.09908,1.0581104167644726,1.0540102963206734,1.0984065543937684
2023-12-18,1.09228,1.08943,1.0581104167644726,1.053913052070749,1.0886271425700187
2023-12-19,1.09794,1.09228,1.0581104167644726,1.0538158078208244,1.0921904155731201
2023-12-20,1.09414,1.09794,1.0581104167644726,1.0537185635709,1.0976816991484164
2023-12-21,1.10111,1.09414,1.0581104167644726,1.0536213193209756,1.0940391111171244
2023-12-22,1.10108,1.10111,1.0581104167644726,1.0535240750710513,1.1008664423555137
2023-12-26,1.1041,1.10108,1.0581104167644726,1.0534268308211268,1.1009015534377098
2023-12-27,1.1106,1.1041,1.0581104167644726,1.0533295865712025,1.103948835605383
2023-12-28,1.10615,1.1106,1.0581104167644726,1.053232342321278,1.1101264934420585
2023-12-29,1.10384,1.10615,1.0581104167644726,1.0531350980713536,1.1061606809318065
2024-01-02,1.09406,1.10384,1.0581104167644726,1.0530378538214291,1.1040755424880981
2024-01-03,1.0919,1.09406,1.0581104167644726,1.0529406095715046,1.0941263848567009
2024-01-04,1.09471,1.0919,1.0581104167644726,1.0528433653215803,1.0913968486487866
2024-01-05,1.09403,1.09471,1.0581104167644726,1.0527461210716558,1.0946668698817492
2024-01-08,1.09501,1.09403,1.0581104167644726,1.0526488768217315,1.093915427313447
2024-01-09,1.09299,1.09501,1.0581104167644726,1.052551632571807,1.0951947075402737
2024-01-10,1.09713,1.09299,1.0581104167644726,1.0524543883218827,1.0928957970321178
2024-01-11,1.09722,1.09713,1.0581104167644726,1.0523571440719581,1.0977075601959227
2024-01-12,1.0949200000000001,1.09722,1.0581104167644726,1.0522598998220336,1.0973816673374177
2024-01-15,1.09499,1.0949200000000001,1.0581104167644726,1.0521626555721093,1.0947659156680107
2024-01-16,1.08748,1.09499,1.0581104167644726,1.0520654113221848,1.095030987355709
2024-01-17,1.08808,1.08748,1.0581104167644726,1.0519681670722605,1.0865307926273347
2024-01-18,1.08747,1.08808,1.0581104167644726,1.051870922822336,1.087940303144455
2024-01-19,1.08965,1.08747,1.0581104167644726,1.0517736785724117,1.0873242885446548
2024-01-22,1.08813,1.08965,1.0581104167644726,1.0516764343224871,1.0897471625089645
2024-01-23,1.08525,1.08813,1.0581104167644726,1.0515791900725626,1.0879851729744674
2024-01-24,1.08839,1.08525,1.0581104167644726,1.0514819458226383,1.084984722957015
2024-01-25,1.08466,1.08839,1.0581104167644726,1.0513847015727138,1.0883043675088881
2024-01-26,1.0853,1.08466,1.0581104167644726,1.0512874573227895,1.084480012245178
2024-01-29,1.08337,1.0853,1.0581104167644726,1.051190213072865,1.085190093523264
2024-01-30,1.08449,1.08337,1.0581104167644726,1.0510929688229407,1.0836977770352363
2024-01-31,1.08174,1.08449,1.0581104167644726,1.0509957245730162,1.0843644678747653
2024-02-01,1.08709,1.08174,1.0581104167644726,1.0508984803230916,1.081931366930008
2024-02-02,1.07881,1.08709,1.0581104167644726,1.0508012360731673,1.0869110993117093
2024-02-05,1.07407,1.07881,1.0581104167644726,1.0507039918232428,1.078298927013874
2024-02-06,1.0754299999999999,1.07407,1.0581104167644726,1.0506067475733185,1.0737148834961654
2024-02-07,1.07729,1.0754299999999999,1.0581104167644726,1.050509503323394,1.075349681919217
2024-02-08,1.0777700000000001,1.07729,1.0581104167644726,1.0504122590734697,1.0772770292794704
2024-02-09,1.07842,1.0777700000000001,1.0581104167644726,1.0503150148235452,1.077796466920376
2024-02-12,1.07717,1.07842,1.0581104167644726,1.0502177705736206,1.0784184573078155
2024-02-13,1.07089,1.07717,1.0581104167644726,1.0501205263236963,1.0772737542057036
2024-02-14,1.07274,1.07089,1.0581104167644726,1.0500232820737718,1.071017787696123
2024-02-15,1.07728,1.07274,1.0581104167644726,1.0499260378238475,1.0726587318956853
2024-02-16,1.07755,1.07728,1.0581104167644726,1.049828793573923,1.0771709056949617
2024-02-19,1.07791,1.07755,1.0581104167644726,1.0497315493239987,1.0774141599267721
2024-02-20,1.08077,1.07791,1.0581104167644726,1.0496343050740742,1.0777924895983935
2024-02-21,1.08169,1.08077,1.0581104167644726,1.0495370608241497,1.080485461665988
2024-02-22,1.0823,1.08169,1.0581104167644726,1.0494398165742254,1.081465180040002
2024-02-23,1.08203,1.0823,1.0581104167644726,1.0493425723243008,1.0820916323542595
