model,RMSE,MAE,MAPE(%),TheilsU,HitRate
lstm,0.005081257600491561,0.003775816163778306,0.34374799037608106,0.9984860291797362,0.49298597194388777
rw,0.005091454330542504,0.003782720000000001,0.34437731260272575,0.999999999961235,0.4849699398797595
arima,0.04863723372035157,0.03683992403736221,3.2773873223259122,9.575830980236894,0.03006012024048096
ets,0.07441770443117221,0.056460599421908265,5.0095153482333235,14.651801728095784,0.5130260521042084
