Date,y,rw,arima,ets,lstm
2023-10-24,1.05891,1.06686,1.0669888216164891,1.0667535173734384,1.0662186967527865
2023-10-25,1.05652,1.05891,1.0670377310439216,1.0666470348587322,1.0589574631977081
2023-10-26,1.05604,1.05652,1.0670563003815605,1.0665405523440261,1.0563648962712286
2023-10-27,1.05647,1.05604,1.0670633505622404,1.06643406982932,1.0559044796538355
2023-10-30,1.06141,1.05647,1.0670660272892507,1.0663275873146139,1.0563623833829165
2023-10-31,1.05732,1.06141,1.067067043556466,1.0662211047999077,1.061323769851327
2023-11-01,1.05661,1.05732,1.0670674294004647,1.0661146222852016,1.0571826138210296
2023-11-02,1.06201,1.05661,1.06706757589303,1.0660081397704955,1.0564350447165967
2023-11-03,1.07265,1.06201,1.0670676315115486,1.0659016572557893,1.0619962004411219
2023-11-06,1.07164,1.07265,1.0670676526281127,1.0657951747410832,1.0723310926079752
2023-11-07,1.06988,1.07164,1.0670676606453933,1.065688692226377,1.071374983780384
2023-11-08,1.0709,1.06988,1.067067663689297,1.065582209711671,1.0697141347050667
2023-11-09,1.06674,1.0709,1.0670676648449695,1.0654757271969648,1.0707478278160094
2023-11-10,1.06833,1.06674,1.0670676652837412,1.0653692446822587,1.0665944592940808
2023-11-13,1.06984,1.06833,1.0670676654503286,1.0652627621675523,1.0682193923038243
2023-11-14,1.08784,1.06984,1.0670676655135765,1.0651562796528462,1.0697539777326583
2023-11-15,1.08456,1.08784,1.0670676655375897,1.06504979713814,1.0875595007896421
2023-11-16,1.08529,1.08456,1.0670676655467068,1.064943314623434,1.0844396960020064
2023-11-17,1.09122,1.08529,1.0670676655501683,1.0648368321087278,1.0852679412811996
2023-11-20,1.09399,1.09122,1.0670676655514826,1.0647303495940217,1.0911883896946908
2023-11-21,1.09117,1.09399,1.0670676655519815,1.0646238670793156,1.0939135123234986
2023-11-22,1.08879,1.09117,1.067067665552171,1.0645173845646094,1.0911677886807918
2023-11-23,1.09061,1.08879,1.0670676655522429,1.0644109020499033,1.0887810442221164
2023-11-24,1.09352,1.09061,1.0670676655522702,1.0643044195351972,1.0906538136541843
2023-11-27,1.09543,1.09352,1.0670676655522806,1.064197937020491,1.0935703180885314
2023-11-28,1.09943,1.09543,1.0670676655522846,1.064091454505785,1.095437704540491
2023-11-29,1.09696,1.09943,1.0670676655522862,1.0639849719910788,1.099418859707117
2023-11-30,1.08887,1.09696,1.0670676655522868,1.0638784894763726,1.0968628395080566
2023-12-01,1.08803,1.08887,1.067067665552287,1.0637720069616665,1.0884275001442432
2023-12-04,1.08351,1.08803,1.067067665552287,1.0636655244469604,1.0878482857000829
2023-12-05,1.07974,1.08351,1.067067665552287,1.0635590419322543,1.08307122833848
2023-12-06,1.07628,1.07974,1.067067665552287,1.0634525594175481,1.0793290772402286
2023-12-07,1.07951,1.07628,1.067067665552287,1.063346076902842,1.0759305037879943
2023-12-08,1.07617,1.07951,1.067067665552287,1.0632395943881359,1.0799887179470062
2023-12-11,1.07634,1.07617,1.067067665552287,1.0631331118734297,1.0762333749938011
2023-12-12,1.07943,1.07634,1.067067665552287,1.0630266293587236,1.076652562494278
2023-12-13,1.08742,1.07943,1.067067665552287,1.0629201468440175,1.0799236091279982
2023-12-14,1.09908,1.08742,1.067067665552287,1.0628136643293113,1.0877134836006166
2023-12-15,1.08943,1.09908,1.067067665552287,1.0627071818146052,1.0981588600516319
2023-12-18,1.09228,1.08943,1.067067665552287,1.062600699299899,1.0889257141053676
2023-12-19,1.09794,1.09228,1.067067665552287,1.062494216785193,1.0918733544111252
2023-12-20,1.09414,1.09794,1.067067665552287,1.0623877342704868,1.0974300079715251
2023-12-21,1.10111,1.09414,1.067067665552287,1.0622812517557807,1.0939871993196009
2023-12-22,1.10108,1.10111,1.067067665552287,1.0621747692410743,1.1006778180843593
2023-12-26,1.1041,1.10108,1.067067665552287,1.0620682867263682,1.1008305423378946
2023-12-27,1.1106,1.1041,1.067067665552287,1.061961804211662,1.103809253680706
2023-12-28,1.10615,1.1106,1.067067665552287,1.061855321696956,1.1101014048099518
2023-12-29,1.10384,1.10615,1.067067665552287,1.0617488391822498,1.1061302864283322
2024-01-02,1.09406,1.10384,1.067067665552287,1.0616423566675437,1.1038796079826354
2024-01-03,1.0919,1.09406,1.067067665552287,1.0615358741528376,1.0939548145639897
2024-01-04,1.09471,1.0919,1.067067665552287,1.0614293916381314,1.091634594333172
2024-01-05,1.09403,1.09471,1.067067665552287,1.0613229091234253,1.0948639895296097
2024-01-08,1.09501,1.09403,1.067067665552287,1.0612164266087192,1.0941162066543102
2024-01-09,1.09299,1.09501,1.067067665552287,1.061109944094013,1.095176693660021
2024-01-10,1.09713,1.09299,1.067067665552287,1.061003461579307,1.0929253738975524
2024-01-11,1.09722,1.09713,1.067067665552287,1.0608969790646008,1.0973239587342738
2024-01-12,1.0949200000000001,1.09722,1.067067665552287,1.0607904965498947,1.0971349807691575
2024-01-15,1.09499,1.0949200000000001,1.067067665552287,1.0606840140351885,1.0946004756927492
2024-01-16,1.08748,1.09499,1.067067665552287,1.0605775315204824,1.0947012610483169
2024-01-17,1.08808,1.08748,1.067067665552287,1.0604710490057763,1.0867432040286065
2024-01-18,1.08747,1.08808,1.067067665552287,1.0603645664910701,1.087909756617546
2024-01-19,1.08965,1.08747,1.067067665552287,1.060258083976364,1.08727515630126
2024-01-22,1.08813,1.08965,1.067067665552287,1.0601516014616579,1.0895888837426901
2024-01-23,1.08525,1.08813,1.067067665552287,1.0600451189469517,1.0879976904916764
